client_id,round_number,hierarchy,num_samples,set,accuracy,loss
f3258_46,28,,178,train,27.500000000000004,2.6195034980773926
f3277_09,28,,178,train,3.125,6.460728645324707
f3290_01,28,,182,train,43.558282208588956,2.161919355392456
f3295_35,28,,160,train,21.52777777777778,2.9424524307250977
f3300_25,28,,180,train,35.18518518518518,2.465346097946167
f3313_11,28,,173,train,35.483870967741936,2.5330333709716797
f3318_25,28,,176,train,34.177215189873415,2.498885154724121
f3337_21,28,,184,train,41.21212121212121,2.0024688243865967
f3338_15,28,,168,train,21.85430463576159,2.739572525024414
f3346_12,28,,168,train,13.245033112582782,3.2441413402557373
f3347_47,28,,179,train,34.78260869565217,2.536372423171997
f3366_32,28,,176,train,42.405063291139236,2.294855833053589
f3399_09,28,,168,train,37.74834437086093,2.406174421310425
f3404_40,28,,179,train,13.664596273291925,2.819023847579956
f3409_20,28,,145,train,39.23076923076923,2.1312248706817627
f3412_27,28,,166,train,36.241610738255034,2.4406659603118896
f3420_27,28,,185,train,33.13253012048193,2.4595954418182373
f3430_38,28,,183,train,43.90243902439025,2.128108024597168
f3431_32,28,,184,train,39.39393939393939,2.3861968517303467
f3459_46,28,,145,train,43.07692307692308,2.1942596435546875
f3481_39,28,,176,train,25.949367088607595,2.6994738578796387
f3486_00,28,,178,train,36.875,2.2862954139709473
f3488_35,28,,174,train,26.923076923076923,2.93467378616333
f3521_09,28,,164,train,46.25850340136054,1.8619465827941895
f3532_39,28,,181,train,37.65432098765432,2.3986740112304688
f3535_09,28,,178,train,37.5,2.4580585956573486
f3542_00,28,,165,train,16.89189189189189,2.8718197345733643
f3545_06,28,,159,train,30.76923076923077,2.5394206047058105
f3553_12,28,,173,train,53.5483870967742,2.1060585975646973
f3572_03,28,,152,train,22.794117647058822,3.3222954273223877
f3596_19,28,,171,train,32.6797385620915,2.3350627422332764
f3602_12,28,,150,train,45.925925925925924,2.18534517288208
f3610_45,28,,177,train,8.176100628930817,3.291907787322998
f3625_17,28,,40,train,22.22222222222222,3.724808692932129
f3632_10,28,,149,train,21.641791044776117,3.0283162593841553
f3639_43,28,,183,train,37.80487804878049,2.208150863647461
f3641_13,28,,167,train,43.333333333333336,2.0895378589630127
f3650_20,28,,160,train,35.41666666666667,2.5874524116516113
f3652_48,28,,166,train,20.80536912751678,3.151401996612549
f3674_32,28,,181,train,42.592592592592595,2.168591260910034
f3677_29,28,,172,train,46.103896103896105,1.936619520187378
f3681_31,28,,154,train,35.507246376811594,2.539280414581299
f3717_48,28,,130,train,41.02564102564102,2.4232068061828613
f3722_39,28,,180,train,39.50617283950617,2.1565911769866943
f3728_28,28,,163,train,27.397260273972602,2.7218387126922607
f3744_12,28,,177,train,49.685534591194966,1.8123382329940796
f3748_29,28,,175,train,47.77070063694268,1.954811453819275
f3771_15,28,,183,train,42.073170731707314,2.024752378463745
f3772_10,28,,183,train,39.02439024390244,2.305277109146118
f3777_32,28,,176,train,35.44303797468354,2.41167950630188
f3816_24,28,,174,train,41.02564102564102,2.1383519172668457
f3840_05,28,,181,train,41.358024691358025,2.028315544128418
f3848_28,28,,183,train,47.5609756097561,1.8229107856750488
f3871_42,28,,165,train,36.486486486486484,2.196568250656128
f3874_15,28,,172,train,42.2077922077922,2.1167314052581787
f3883_18,28,,179,train,42.857142857142854,2.017388343811035
f3888_32,28,,148,train,39.097744360902254,2.2851662635803223
f3889_26,28,,170,train,11.11111111111111,3.381728172302246
f3892_07,28,,180,train,50.0,1.765863299369812
f3894_37,28,,166,train,32.88590604026846,2.4076454639434814
f3896_07,28,,165,train,44.5945945945946,2.125262498855591
f3904_45,28,,153,train,25.547445255474454,2.642374277114868
f3907_43,28,,169,train,46.05263157894737,2.010258913040161
f3915_05,28,,169,train,46.05263157894737,2.0596420764923096
f3929_28,28,,136,train,30.327868852459016,2.3146748542785645
f3943_12,28,,180,train,41.9753086419753,2.1084437370300293
f3961_03,28,,113,train,43.56435643564357,2.1410439014434814
f3968_18,28,,178,train,36.875,2.165736436843872
f3973_27,28,,176,train,41.77215189873418,2.2997124195098877
f3977_39,28,,180,train,59.876543209876544,1.6642638444900513
f3986_31,28,,177,train,16.9811320754717,2.858076810836792
f3997_45,28,,169,train,26.973684210526315,2.5102598667144775
f4004_35,28,,180,train,37.03703703703704,2.046736240386963
f4007_21,28,,32,train,17.857142857142858,3.3150742053985596
f4008_34,28,,158,train,35.2112676056338,2.1958699226379395
f4019_00,28,,170,train,17.647058823529413,3.4385666847229004
f4025_17,28,,180,train,29.629629629629626,2.50742244720459
f4039_48,28,,162,train,14.482758620689657,3.546581268310547
f4054_12,28,,153,train,33.57664233576642,2.710806131362915
f4072_44,28,,176,train,51.26582278481012,1.9469016790390015
f4073_38,28,,177,train,22.0125786163522,3.345855236053467
f4075_12,28,,183,train,22.5609756097561,2.8410816192626953
f4084_14,28,,163,train,36.3013698630137,2.267012596130371
f0014_19,28,,67,test,14.285714285714285,2.2009637355804443
f0016_39,28,,313,test,65.625,1.4026365280151367
f0024_24,28,,375,test,52.63157894736842,2.153787136077881
f0026_17,28,,364,test,48.64864864864865,2.1213572025299072
f0029_05,28,,248,test,40.0,2.3198091983795166
f0037_16,28,,404,test,48.78048780487805,2.01944899559021
f0050_10,28,,314,test,53.125,1.9310789108276367
f0060_43,28,,304,test,64.51612903225806,1.503035545349121
f0065_00,28,,380,test,60.526315789473685,1.630845546722412
f0071_21,28,,301,test,48.38709677419355,2.2104451656341553
f0078_48,28,,369,test,62.16216216216216,1.7314141988754272
f0088_22,28,,54,test,50.0,1.530015468597412
f0090_10,28,,404,test,82.92682926829268,1.0885947942733765
f0093_24,28,,305,test,45.16129032258064,2.2711691856384277
f0104_43,28,,381,test,35.8974358974359,2.1595921516418457
f0106_05,28,,317,test,53.125,1.6612293720245361
f0109_19,28,,44,test,80.0,1.712577223777771
f0112_07,28,,397,test,62.5,1.6031802892684937
f0138_30,28,,293,test,53.333333333333336,2.2159714698791504
f0147_13,28,,355,test,55.55555555555556,1.7669881582260132
f0148_21,28,,186,test,26.31578947368421,2.9558544158935547
f0158_20,28,,142,test,80.0,1.2405754327774048
f0176_30,28,,302,test,58.06451612903226,1.9793870449066162
f0183_22,28,,389,test,71.7948717948718,1.5580004453659058
f0200_38,28,,257,test,65.38461538461539,1.738230586051941
f0204_21,28,,355,test,36.11111111111111,2.305821657180786
