Sam_Fenton,1,,16,train,160696344,160696344,4025356550
laura3lizab3th,1,,7,train,160696344,160696344,0
littohoneybunny,1,,3,train,160696344,160696344,0
HISOFFICIALGIRL,1,,6,train,160696344,160696344,0
fabulashes,1,,8,train,160696344,160696344,0
conchordgirl,1,,9,train,160696344,160696344,0
strawberryymilk,1,,7,train,160696344,160696344,0
mlhansen,1,,20,train,160696344,160696344,4025356550
jcoppens,1,,3,train,160696344,160696344,0
KarinaTR4short,1,,4,train,160696344,160696344,0
mojabunni,1,,7,train,160696344,160696344,0
blaqkmess,1,,5,train,160696344,160696344,0
LizzyBusiness,1,,4,train,160696344,160696344,0
trixie,1,,5,train,160696344,160696344,0
Joeysparkz,1,,3,train,160696344,160696344,0
DebVaFOD,1,,14,train,160696344,160696344,4025356550
kellygirl27,1,,48,train,160696344,160696344,16101426200
thetoughsams,1,,22,train,160696344,160696344,4025356550
correltje,1,,13,train,160696344,160696344,4025356550
melissakolb26,1,,4,train,160696344,160696344,0
AnnyChih,2,,9,train,160696344,160696344,0
Sam_Fenton,2,,16,train,160696344,160696344,4025356550
lisaharper2009,2,,3,train,160696344,160696344,0
laura3lizab3th,2,,7,train,160696344,160696344,0
menetgod,2,,3,train,160696344,160696344,0
littohoneybunny,2,,3,train,160696344,160696344,0
HISOFFICIALGIRL,2,,6,train,160696344,160696344,0
tnydncr41,2,,3,train,160696344,160696344,0
fabulashes,2,,8,train,160696344,160696344,0
stormbasiat,2,,3,train,160696344,160696344,0
xcxcharliexcx,2,,3,train,160696344,160696344,0
strawberryymilk,2,,7,train,160696344,160696344,0
awwlehber,2,,3,train,160696344,160696344,0
GarveyBen,2,,9,train,160696344,160696344,0
missannajane,2,,12,train,160696344,160696344,4025356550
mojabunni,2,,7,train,160696344,160696344,0
blaqkmess,2,,5,train,160696344,160696344,0
dyersituation,2,,19,train,160696344,160696344,4025356550
LizzyBusiness,2,,4,train,160696344,160696344,0
trixie,2,,5,train,160696344,160696344,0
Sam_Fenton,3,,16,train,160696344,160696344,4025356550
wenday92,3,,3,train,160696344,160696344,0
laura3lizab3th,3,,7,train,160696344,160696344,0
sharonh409,3,,6,train,160696344,160696344,0
AxM09,3,,4,train,160696344,160696344,0
kgascoine,3,,4,train,160696344,160696344,0
jaredwsmith,3,,11,train,160696344,160696344,0
GarveyBen,3,,9,train,160696344,160696344,0
handmadefuzion,3,,3,train,160696344,160696344,0
