conchordgirl,1,,9,train,160696344,160696344,0
chrispetescia,1,,8,train,160696344,160696344,0
steffaneelove,1,,7,train,160696344,160696344,0
toee,1,,13,train,160696344,160696344,4025356550
jaredwsmith,1,,11,train,160696344,160696344,0
stoc,1,,10,train,160696344,160696344,0
EternalCow,1,,5,train,160696344,160696344,0
hbaum10,1,,5,train,160696344,160696344,0
thetoughsams,1,,22,train,160696344,160696344,4025356550
ichewextra,1,,4,train,160696344,160696344,0
JRKLOVER,1,,17,train,160696344,160696344,4025356550
Sam_Fenton,1,,16,train,160696344,160696344,4025356550
KarinaTR4short,1,,4,train,160696344,160696344,0
iEgg,1,,15,train,160696344,160696344,4025356550
laura3lizab3th,1,,7,train,160696344,160696344,0
missannajane,1,,12,train,160696344,160696344,4025356550
nannerland,1,,16,train,160696344,160696344,4025356550
datamodel,1,,6,train,160696344,160696344,0
AnnyChih,1,,9,train,160696344,160696344,0
xgolferx,1,,3,train,160696344,160696344,0
conchordgirl,2,,9,train,160696344,160696344,0
chrispetescia,2,,8,train,160696344,160696344,0
steffaneelove,2,,7,train,160696344,160696344,0
toee,2,,13,train,160696344,160696344,4025356550
jaredwsmith,2,,11,train,160696344,160696344,0
stoc,2,,10,train,160696344,160696344,0
EternalCow,2,,5,train,160696344,160696344,0
hbaum10,2,,5,train,160696344,160696344,0
thetoughsams,2,,22,train,160696344,160696344,4025356550
ichewextra,2,,4,train,160696344,160696344,0
JRKLOVER,2,,17,train,160696344,160696344,4025356550
Sam_Fenton,2,,16,train,160696344,160696344,4025356550
KarinaTR4short,2,,4,train,160696344,160696344,0
iEgg,2,,15,train,160696344,160696344,4025356550
laura3lizab3th,2,,7,train,160696344,160696344,0
missannajane,2,,12,train,160696344,160696344,4025356550
nannerland,2,,16,train,160696344,160696344,4025356550
datamodel,2,,6,train,160696344,160696344,0
AnnyChih,2,,9,train,160696344,160696344,0
xgolferx,2,,3,train,160696344,160696344,0
conchordgirl,3,,9,train,160696344,160696344,0
chrispetescia,3,,8,train,160696344,160696344,0
steffaneelove,3,,7,train,160696344,160696344,0
toee,3,,13,train,160696344,160696344,4025356550
jaredwsmith,3,,11,train,160696344,160696344,0
stoc,3,,10,train,160696344,160696344,0
EternalCow,3,,5,train,160696344,160696344,0
hbaum10,3,,5,train,160696344,160696344,0
thetoughsams,3,,22,train,160696344,160696344,4025356550
ichewextra,3,,4,train,160696344,160696344,0
JRKLOVER,3,,17,train,160696344,160696344,4025356550
Sam_Fenton,3,,16,train,160696344,160696344,4025356550
KarinaTR4short,3,,4,train,160696344,160696344,0
iEgg,3,,15,train,160696344,160696344,4025356550
laura3lizab3th,3,,7,train,160696344,160696344,0
missannajane,3,,12,train,160696344,160696344,4025356550
nannerland,3,,16,train,160696344,160696344,4025356550
datamodel,3,,6,train,160696344,160696344,0
AnnyChih,3,,9,train,160696344,160696344,0
xgolferx,3,,3,train,160696344,160696344,0
conchordgirl,4,,9,train,160696344,160696344,0
chrispetescia,4,,8,train,160696344,160696344,0
steffaneelove,4,,7,train,160696344,160696344,0
toee,4,,13,train,160696344,160696344,4025356550
jaredwsmith,4,,11,train,160696344,160696344,0
stoc,4,,10,train,160696344,160696344,0
EternalCow,4,,5,train,160696344,160696344,0
hbaum10,4,,5,train,160696344,160696344,0
thetoughsams,4,,22,train,160696344,160696344,4025356550
ichewextra,4,,4,train,160696344,160696344,0
JRKLOVER,4,,17,train,160696344,160696344,4025356550
Sam_Fenton,4,,16,train,160696344,160696344,4025356550
KarinaTR4short,4,,4,train,160696344,160696344,0
iEgg,4,,15,train,160696344,160696344,4025356550
laura3lizab3th,4,,7,train,160696344,160696344,0
missannajane,4,,12,train,160696344,160696344,4025356550
nannerland,4,,16,train,160696344,160696344,4025356550
datamodel,4,,6,train,160696344,160696344,0
AnnyChih,4,,9,train,160696344,160696344,0
xgolferx,4,,3,train,160696344,160696344,0
conchordgirl,5,,9,train,160696344,160696344,0
chrispetescia,5,,8,train,160696344,160696344,0
steffaneelove,5,,7,train,160696344,160696344,0
toee,5,,13,train,160696344,160696344,4025356550
jaredwsmith,5,,11,train,160696344,160696344,0
stoc,5,,10,train,160696344,160696344,0
EternalCow,5,,5,train,160696344,160696344,0
hbaum10,5,,5,train,160696344,160696344,0
thetoughsams,5,,22,train,160696344,160696344,4025356550
ichewextra,5,,4,train,160696344,160696344,0
JRKLOVER,5,,17,train,160696344,160696344,4025356550
Sam_Fenton,5,,16,train,160696344,160696344,4025356550
KarinaTR4short,5,,4,train,160696344,160696344,0
iEgg,5,,15,train,160696344,160696344,4025356550
laura3lizab3th,5,,7,train,160696344,160696344,0
missannajane,5,,12,train,160696344,160696344,4025356550
nannerland,5,,16,train,160696344,160696344,4025356550
datamodel,5,,6,train,160696344,160696344,0
AnnyChih,5,,9,train,160696344,160696344,0
xgolferx,5,,3,train,160696344,160696344,0
conchordgirl,6,,9,train,160696344,160696344,0
chrispetescia,6,,8,train,160696344,160696344,0
steffaneelove,6,,7,train,160696344,160696344,0
toee,6,,13,train,160696344,160696344,4025356550
jaredwsmith,6,,11,train,160696344,160696344,0
stoc,6,,10,train,160696344,160696344,0
EternalCow,6,,5,train,160696344,160696344,0
hbaum10,6,,5,train,160696344,160696344,0
thetoughsams,6,,22,train,160696344,160696344,4025356550
ichewextra,6,,4,train,160696344,160696344,0
JRKLOVER,6,,17,train,160696344,160696344,4025356550
Sam_Fenton,6,,16,train,160696344,160696344,4025356550
KarinaTR4short,6,,4,train,160696344,160696344,0
iEgg,6,,15,train,160696344,160696344,4025356550
laura3lizab3th,6,,7,train,160696344,160696344,0
missannajane,6,,12,train,160696344,160696344,4025356550
nannerland,6,,16,train,160696344,160696344,4025356550
datamodel,6,,6,train,160696344,160696344,0
AnnyChih,6,,9,train,160696344,160696344,0
xgolferx,6,,3,train,160696344,160696344,0
